le,operation,statusCode,min,max,avg,sum,last,integral
1.468,ConvertToBasicGroup,OK,0,0,0,0,0,0
1.468,ConvertToExternalGroup,OK,0,0,0,0,0,0
1.468,CreateAccessKey,OK,0,0,0,0,0,0
1.468,CreateApiKey,OK,0,0,0,0,0,0
1.468,CreateExternalGroup,OK,1.7545454545454546,1730,899.9039474168544,449052.06976101035,1730,1552366939.7001765
1.468,CreateFederatedCredential,OK,0,0,0,0,0,0
1.468,CreateFederation,OK,0,0,0,0,0,0
1.468,CreateGroup,OK,8.597474747474747,8332.864864864865,4305.812941378709,2148600.657747976,8332.864864864865,7427682752.364547
1.468,CreateKey,OK,0,0,0,0,0,0
1.468,CreateMicroservice,OK,0,0,0,0,0,0
1.468,CreateOAuthClient,OK,0,0,0,0,0,0
1.468,CreateOAuthClientSecret,OK,0,0,0,0,0,0
1.468,CreateOsLoginProfile,OK,NaN,NaN,NaN,0,NaN,0
1.468,CreateServiceAccount,OK,19.786363636363635,13407.567567567568,6387.620541399618,3187422.650158409,13407.567567567568,11018851700.138533
1.468,CreateSubjectContainer,OK,0,0,0,0,0,0
1.468,CreateSystemFolder,FAILED_PRECONDITION,0,0,0,0,0,0
1.468,CreateSystemFolder,OK,0,183,35.048331935853184,17173.68264856806,183,59369420.91609979
2.154,ChangeTopLevelResource,FAILED_PRECONDITION,0,0,0,0,0,0
2.154,ChangeTopLevelResource,OK,0,0,0,0,0,0
2.154,ConvertAllToBasicGroups,OK,0,6,3.307848602343026,1650.61645256917,6,5706181.076531621
2.154,ConvertToBasicGroup,OK,0,0,0,0,0,0
2.154,ConvertToExternalGroup,OK,0,0,0,0,0,0
2.154,CreateAccessKey,OK,0,0,0,0,0,0
2.154,CreateApiKey,OK,0,0,0,0,0,0
2.154,CreateExternalGroup,OK,6.386363636363637,1952.2432432432433,949.5676825566635,473834.27359577507,1952.2432432432433,1638023006.1615036
2.154,CreateFederatedCredential,OK,0,0,0,0,0,0
2.154,CreateFederation,OK,0,0,0,0,0,0
2.154,CreateGroup,OK,24.88838383838384,9323.513513513513,4568.401490766687,2279632.3438925766,9323.513513513513,7880602973.6937065
2.154,CreateKey,OK,0,0,0,0,0,0
2.154,CreateMicroservice,OK,0,1,0.1816679918720735,89.01731601731602,1,307732.8614718615
2.154,CreateOAuthClient,OK,0,0,0,0,0,0
2.154,CreateOAuthClientSecret,OK,0,0,0,0,0,0
2.154,CreateOsLoginProfile,OK,NaN,NaN,NaN,0,NaN,0
2.154,CreateServiceAccount,OK,0,3,0.619213209969723,308.98739177489176,3,1068169.4133658009
2.154,CreateSubjectContainer,OK,0,0,0,0,0,0
2.154,CreateSystemFolder,FAILED_PRECONDITION,0,0,0,0,0,0
2.154,CreateSystemFolder,OK,0,626,136.85777564272462,67060.31006493507,626,231827491.89448053
3.162,ChangeTopLevelResource,FAILED_PRECONDITION,0,0,0,0,0,0
3.162,ChangeTopLevelResource,OK,0,0,0,0,0,0
3.162,ConvertAllToBasicGroups,OK,0,3,1.3659842082056075,681.6261198945981,3,2356381.496475626
3.162,ConvertToBasicGroup,OK,0,0,0,0,0,0
3.162,ConvertToExternalGroup,OK,0,0,0,0,0,0
3.162,CreateAccessKey,OK,0,0,0,0,0,0
3.162,CreateApiKey,OK,0,0,0,0,0,0
3.162,CreateExternalGroup,OK,0,55,23.175324052961937,11564.486702428007,55,39978430.53029362
3.162,CreateFederatedCredential,OK,0,0,0,0,0,0
3.162,CreateFederation,OK,0,0,0,0,0,0
3.162,CreateGroup,OK,3.186363636363636,362,186.18596144387402,92906.79476049314,362,321167774.2279339
3.162,CreateKey,OK,0,0,0,0,0,0
3.162,CreateMicroservice,OK,0,700,148.65897007987422,72842.89533913837,700,251817889.18740132
3.162,CreateOAuthClient,OK,0,0,0,0,0,0
3.162,CreateOAuthClientSecret,OK,0,0,0,0,0,0
3.162,CreateOsLoginProfile,OK,NaN,NaN,NaN,0,NaN,0
3.162,CreateServiceAccount,OK,0,0,0,0,0,0
3.162,CreateSubjectContainer,OK,0,0,0,0,0,0
3.162,CreateSystemFolder,FAILED_PRECONDITION,0,0,0,0,0,0
3.162,CreateSystemFolder,OK,0,20,4.503725214817717,2206.825355260681,20,7628995.253136176
