le,operation,min,max,avg,sum,last,integral
1467.799,UpdateAssignments,0,0,0,0,0,0
1467.799,UnlinkOAuthClient,0,0,0,0,0,0
1467.799,SuspendSamlApplication,0,0,0,0,0,0
1467.799,SuspendOAuthApplication,0,0,0,0,0,0
1467.799,SetPasswordHash,0,0,0,0,0,0
1467.799,SetOthersPassword,0,0,0,0,0,0
1467.799,SetOAuthApplicationAccessBindings,0,0,0,0,0,0
1467.799,ReactivateSamlApplication,0,0,0,0,0,0
1467.799,ReactivateOAuthApplication,0,0,0,0,0,0
1467.799,DeleteUserpool,0,0,0,0,0,0
1467.799,DeleteUser,0,0,0,0,0,0
1467.799,DeleteSamlApplication,0,0,0,0,0,0
1467.799,DeleteOrganizationSamlApplications,0,0,0,0,0,0
1467.799,DeleteOrganizationOAuthApplications,0,0,0,0,0,0
1467.799,DeleteOAuthApplication,0,0,0,0,0,0
1467.799,DeleteDomain,0,0,0,0,0,0
1467.799,DeleteApplication,0,0,0,0,0,0
1467.799,CreateUserpool,0,0,0,0,0,0
1467.799,CreateUser,0,0,0,0,0,0
1467.799,CreateSamlApplication,0,0,0,0,0,0
1467.799,CreateOAuthApplication,0,0,0,0,0,0
1467.799,AddDomain,0,0,0,0,0,0
1000,ValidateDomain,0,0,0,0,0,0
1000,UpdateUserpoolAccessBindings,0,0,0,0,0,0
1000,UpdateUserpool,0,0,0,0,0,0
1000,UpdateUser,0,0,0,0,0,0
1000,UpdateSamlApplicationAssignments,0,0,0,0,0,0
1000,UpdateSamlApplication,0,0,0,0,0,0
1000,UpdateOAuthApplicationAssignments,0,0,0,0,0,0
1000,UpdateOAuthApplicationAccessBindings,0,0,0,0,0,0
1000,UpdateOAuthApplication,0,0,0,0,0,0
1000,UpdateAssignments,0,0,0,0,0,0
1000,UnlinkOAuthClient,0,0,0,0,0,0
1000,SuspendSamlApplication,0,0,0,0,0,0
1000,SuspendOAuthApplication,0,0,0,0,0,0
1000,SetPasswordHash,0,0,0,0,0,0
1000,SetOthersPassword,0,0,0,0,0,0
1000,SetOAuthApplicationAccessBindings,0,0,0,0,0,0
1000,ReactivateSamlApplication,0,0,0,0,0,0
1000,ReactivateOAuthApplication,0,0,0,0,0,0
1000,DeleteUserpool,0,0,0,0,0,0
1000,DeleteUser,0,0,0,0,0,0
1000,DeleteSamlApplication,0,0,0,0,0,0
1000,DeleteOrganizationSamlApplications,0,0,0,0,0,0
1000,DeleteOrganizationOAuthApplications,0,0,0,0,0,0
1000,DeleteOAuthApplication,0,0,0,0,0,0
1000,DeleteDomain,0,0,0,0,0,0
1000,DeleteApplication,0,0,0,0,0,0
1000,CreateUserpool,0,0,0,0,0,0
1000,CreateUser,0,0,0,0,0,0
1000,CreateSamlApplication,0,0,0,0,0,0
1000,CreateOAuthApplication,0,0,0,0,0,0
1000,AddDomain,0,0,0,0,0,0
681.292,ValidateDomain,0,0,0,0,0,0
681.292,UpdateUserpoolAccessBindings,0,0,0,0,0,0
681.292,UpdateUserpool,0,0,0,0,0,0
681.292,UpdateUser,0,0,0,0,0,0
681.292,UpdateSamlApplicationAssignments,0,0,0,0,0,0
681.292,UpdateSamlApplication,0,0,0,0,0,0
681.292,UpdateOAuthApplicationAssignments,0,0,0,0,0,0
681.292,UpdateOAuthApplicationAccessBindings,0,0,0,0,0,0
681.292,UpdateOAuthApplication,0,0,0,0,0,0
681.292,UpdateAssignments,0,0,0,0,0,0
681.292,UnlinkOAuthClient,0,0,0,0,0,0
681.292,SuspendSamlApplication,0,0,0,0,0,0
681.292,SuspendOAuthApplication,0,0,0,0,0,0
681.292,SetPasswordHash,0,0,0,0,0,0
681.292,SetOthersPassword,0,0,0,0,0,0
681.292,SetOAuthApplicationAccessBindings,0,0,0,0,0,0
681.292,ReactivateSamlApplication,0,0,0,0,0,0
681.292,ReactivateOAuthApplication,0,0,0,0,0,0
681.292,DeleteUserpool,0,0,0,0,0,0
681.292,DeleteUser,0,0,0,0,0,0
681.292,DeleteSamlApplication,0,0,0,0,0,0
681.292,DeleteOrganizationSamlApplications,0,0,0,0,0,0
681.292,DeleteOrganizationOAuthApplications,0,0,0,0,0,0
681.292,DeleteOAuthApplication,0,0,0,0,0,0
681.292,DeleteDomain,0,0,0,0,0,0
681.292,DeleteApplication,0,0,0,0,0,0
681.292,CreateUserpool,0,0,0,0,0,0
681.292,CreateUser,0,0,0,0,0,0
681.292,CreateSamlApplication,0,0,0,0,0,0
681.292,CreateOAuthApplication,0,0,0,0,0,0
681.292,AddDomain,0,0,0,0,0,0
464.159,ValidateDomain,0,0,0,0,0,0
464.159,UpdateUserpoolAccessBindings,0,0,0,0,0,0
464.159,UpdateUserpool,0,0,0,0,0,0
464.159,UpdateUser,0,0,0,0,0,0
464.159,UpdateSamlApplicationAssignments,0,0,0,0,0,0
464.159,UpdateSamlApplication,0,0,0,0,0,0
464.159,UpdateOAuthApplicationAssignments,0,0,0,0,0,0
464.159,UpdateOAuthApplicationAccessBindings,0,0,0,0,0,0
464.159,UpdateOAuthApplication,0,0,0,0,0,0
464.159,UpdateAssignments,0,0,0,0,0,0
464.159,UnlinkOAuthClient,0,0,0,0,0,0
464.159,SuspendSamlApplication,0,0,0,0,0,0
464.159,SuspendOAuthApplication,0,0,0,0,0,0
464.159,SetPasswordHash,0,0,0,0,0,0
464.159,SetOthersPassword,0,0,0,0,0,0
464.159,SetOAuthApplicationAccessBindings,0,0,0,0,0,0
464.159,ReactivateSamlApplication,0,0,0,0,0,0
464.159,ReactivateOAuthApplication,0,0,0,0,0,0
464.159,DeleteUserpool,0,0,0,0,0,0
464.159,DeleteUser,0,0,0,0,0,0
464.159,DeleteSamlApplication,0,0,0,0,0,0
464.159,DeleteOrganizationSamlApplications,0,0,0,0,0,0
464.159,DeleteOrganizationOAuthApplications,0,0,0,0,0,0
464.159,DeleteOAuthApplication,0,0,0,0,0,0
464.159,DeleteDomain,0,0,0,0,0,0
464.159,DeleteApplication,0,0,0,0,0,0
464.159,CreateUserpool,0,0,0,0,0,0
464.159,CreateUser,0,0,0,0,0,0
464.159,CreateSamlApplication,0,0,0,0,0,0
464.159,CreateOAuthApplication,0,0,0,0,0,0
464.159,AddDomain,0,0,0,0,0,0
316.228,ValidateDomain,0,0,0,0,0,0
316.228,UpdateUserpoolAccessBindings,0,0,0,0,0,0
316.228,UpdateUserpool,0,0,0,0,0,0
316.228,UpdateUser,0,0,0,0,0,0
316.228,UpdateSamlApplicationAssignments,0,0,0,0,0,0
316.228,UpdateSamlApplication,0,0,0,0,0,0
316.228,UpdateOAuthApplicationAssignments,0,0,0,0,0,0
316.228,UpdateOAuthApplicationAccessBindings,0,0,0,0,0,0
316.228,UpdateOAuthApplication,0,0,0,0,0,0
316.228,UpdateAssignments,0,0,0,0,0,0
316.228,UnlinkOAuthClient,0,0,0,0,0,0
316.228,SuspendSamlApplication,0,0,0,0,0,0
316.228,SuspendOAuthApplication,0,0,0,0,0,0
316.228,SetPasswordHash,0,0,0,0,0,0
316.228,SetOthersPassword,0,0,0,0,0,0
316.228,SetOAuthApplicationAccessBindings,0,0,0,0,0,0
316.228,ReactivateSamlApplication,0,0,0,0,0,0
316.228,ReactivateOAuthApplication,0,0,0,0,0,0
316.228,DeleteUserpool,0,0,0,0,0,0
316.228,DeleteSamlApplication,0,0,0,0,0,0
316.228,DeleteOrganizationSamlApplications,0,0,0,0,0,0
316.228,DeleteOrganizationOAuthApplications,0,0,0,0,0,0
316.228,DeleteOAuthApplication,0,0,0,0,0,0
316.228,DeleteDomain,0,0,0,0,0,0
316.228,DeleteApplication,0,0,0,0,0,0
316.228,CreateUserpool,0,0,0,0,0,0
316.228,CreateUser,0,0,0,0,0,0
316.228,CreateSamlApplication,0,0,0,0,0,0
316.228,CreateOAuthApplication,0,0,0,0,0,0
316.228,AddDomain,0,0,0,0,0,0
215.443,UpdateUserpoolAccessBindings,0,0,0,0,0,0
215.443,UpdateUserpool,0,0,0,0,0,0
215.443,UpdateUser,0,0,0,0,0,0
215.443,UpdateSamlApplicationAssignments,0,0,0,0,0,0
215.443,UpdateSamlApplication,0,0,0,0,0,0
215.443,UpdateOAuthApplicationAssignments,0,0,0,0,0,0
215.443,UpdateOAuthApplicationAccessBindings,0,0,0,0,0,0
215.443,UpdateOAuthApplication,0,0,0,0,0,0
215.443,UpdateAssignments,0,0,0,0,0,0
215.443,UnlinkOAuthClient,0,0,0,0,0,0
215.443,SuspendSamlApplication,0,0,0,0,0,0
215.443,SuspendOAuthApplication,0,0,0,0,0,0
215.443,SetPasswordHash,0,0,0,0,0,0
215.443,SetOthersPassword,0,0,0,0,0,0
215.443,SetOAuthApplicationAccessBindings,0,0,0,0,0,0
215.443,ReactivateSamlApplication,0,0,0,0,0,0
215.443,ReactivateOAuthApplication,0,0,0,0,0,0
215.443,DeleteUserpool,0,0,0,0,0,0
215.443,DeleteSamlApplication,0,0,0,0,0,0
215.443,DeleteOrganizationSamlApplications,0,0,0,0,0,0
215.443,DeleteOrganizationOAuthApplications,0,0,0,0,0,0
215.443,DeleteOAuthApplication,0,0,0,0,0,0
215.443,DeleteDomain,0,0,0,0,0,0
215.443,DeleteApplication,0,0,0,0,0,0
215.443,CreateUserpool,0,0,0,0,0,0
215.443,CreateSamlApplication,0,0,0,0,0,0
215.443,CreateOAuthApplication,0,0,0,0,0,0
215.443,AddDomain,0,0,0,0,0,0
100,UpdateUserpoolAccessBindings,0,0,0,0,0,0
100,UpdateUserpool,0,0,0,0,0,0
100,UpdateUser,0,0,0,0,0,0
100,UpdateSamlApplicationAssignments,0,0,0,0,0,0
100,UpdateSamlApplication,0,0,0,0,0,0
100,UpdateOAuthApplicationAssignments,0,0,0,0,0,0
100,UpdateOAuthApplicationAccessBindings,0,0,0,0,0,0
100,UpdateOAuthApplication,0,0,0,0,0,0
100,UpdateAssignments,0,0,0,0,0,0
100,UnlinkOAuthClient,0,0,0,0,0,0
100,SuspendSamlApplication,0,0,0,0,0,0
100,SuspendOAuthApplication,0,0,0,0,0,0
100,SetPasswordHash,0,0,0,0,0,0
100,SetOthersPassword,0,0,0,0,0,0
100,SetOAuthApplicationAccessBindings,0,0,0,0,0,0
100,ReactivateSamlApplication,0,0,0,0,0,0
100,ReactivateOAuthApplication,0,0,0,0,0,0
100,DeleteUserpool,0,0,0,0,0,0
100,DeleteSamlApplication,0,0,0,0,0,0
100,DeleteOrganizationSamlApplications,0,0,0,0,0,0
