le,method,min,max,avg,sum,last,integral
0.1,organizationmanager.v1.idp.application.saml.ApplicationService/ListSupportedAttributeValues,0,0,0,0,0,0
0.1,organizationmanager.v1.idp.QuotaLimitService/Get,0,0.0010752688172580645,0.000019912385504778973,0.0010752688172580645,0,0
0.1,billing.integration.v2.OperationService/Get,0,0,0,0,0,0
0.075,organizationmanager.v1.idp.console.UserAuditLogService/List,0,0,0,0,0,0
0.075,organizationmanager.v1.idp.application.saml.ApplicationService/ListSupportedAttributeValues,0,0,0,0,0,0
0.075,organizationmanager.v1.idp.QuotaLimitService/Get,0,0,0,0,0,0
0.075,billing.integration.v2.OperationService/Get,0,0,0,0,0,0
0.05,organizationmanager.v1.idp.console.UserAuditLogService/List,0,0,0,0,0,0
0.05,organizationmanager.v1.idp.application.saml.ApplicationService/ListSupportedAttributeValues,0,0,0,0,0,0
0.05,organizationmanager.v1.idp.QuotaLimitService/Get,0,0,0,0,0,0
0.05,billing.integration.v2.OperationService/Get,0,0,0,0,0,0
0.025,organizationmanager.v1.idp.console.UserAuditLogService/List,0,0,0,0,0,0
0.025,organizationmanager.v1.idp.application.saml.ApplicationService/ListSupportedAttributeValues,0,0,0,0,0,0
0.025,organizationmanager.v1.idp.UserpoolService/ListDomains,0,0,0,0,0,0
0.025,organizationmanager.v1.idp.UserpoolService/GetDomain,0,0,0,0,0,0
0.025,organizationmanager.v1.idp.QuotaLimitService/Get,0,0.0010752688172580645,0.000019912385504778973,0.0010752688172580645,0,0
0.025,billing.integration.v2.OperationService/Get,0,0,0,0,0,0
0.01,organizationmanager.v1.idp.console.UserAuditLogService/List,0,0,0,0,0,0
0.01,organizationmanager.v1.idp.application.saml.SignatureCertificateService/List,0,0,0,0,0,0
0.01,organizationmanager.v1.idp.application.saml.SignatureCertificateService/Get,0,0,0,0,0,0
0.01,organizationmanager.v1.idp.application.saml.ApplicationService/ListSupportedAttributeValues,0,0,0,0,0,0
0.01,organizationmanager.v1.idp.application.saml.ApplicationService/ListAssignments,0,0,0,0,0,0
0.01,organizationmanager.v1.idp.application.oauth.ApplicationService/ListAssignments,0,0,0,0,0,0
0.01,organizationmanager.v1.idp.UserpoolService/ListDomains,0,0,0,0,0,0
0.01,organizationmanager.v1.idp.UserpoolService/GetDomain,0,0,0,0,0,0
0.01,organizationmanager.v1.idp.UserService/List,0,0,0,0,0,0
0.01,organizationmanager.v1.idp.QuotaLimitService/Get,0,0,0,0,0,0
0.01,organizationmanager.v1.idp.BillingService/ListBillableEntities,0,0,0,0,0,0
0.01,billing.integration.v2.OperationService/Get,0,0,0,0,0,0
0.0075,organizationmanager.v1.idp.console.UserAuditLogService/List,0,0,0,0,0,0
0.0075,organizationmanager.v1.idp.application.saml.SignatureCertificateService/List,0,0,0,0,0,0
0.0075,organizationmanager.v1.idp.application.saml.SignatureCertificateService/Get,0,0,0,0,0,0
0.0075,organizationmanager.v1.idp.application.saml.ApplicationService/ListAssignments,0,0,0,0,0,0
0.0075,organizationmanager.v1.idp.application.saml.ApplicationService/List,0,0,0,0,0,0
0.0075,organizationmanager.v1.idp.application.oauth.ApplicationService/ListOperations,0,0,0,0,0,0
0.0075,organizationmanager.v1.idp.application.oauth.ApplicationService/ListAssignments,0,0,0,0,0,0
0.0075,organizationmanager.v1.idp.application.oauth.ApplicationService/ListAccessBindings,0,0,0,0,0,0
0.0075,organizationmanager.v1.idp.UserpoolService/ListDomains,0,0,0,0,0,0
0.0075,organizationmanager.v1.idp.UserpoolService/GetDomain,0,0,0,0,0,0
0.0075,organizationmanager.v1.idp.UserService/List,0,0,0,0,0,0
0.0075,organizationmanager.v1.idp.QuotaLimitService/Get,0,0,0,0,0,0
0.0075,organizationmanager.v1.idp.BillingService/ListBillableEntities,0,0,0,0,0,0
