le,method,min,max,avg,sum,last,integral
7.5,iam.v1.IamTokenService/Create,0,0.004767143381004762,0.00008590849278787732,0.04218106995884777,0.0006703795379537954,51.1234567901235
2.5,iam.v1.IamTokenService/CreateForService,0,0.006274701544228495,0.00009278036237358679,0.04620462046204622,0,56
2.5,iam.v1.IamTokenService/CreateForSubject,0,0.024569123579024563,0.0001081257319280315,0.05363036303630363,0,65
1.0,iam.v1.IamTokenService/CreateForComputeInstance,0,0.0032104367844191933,0.00010978920472692431,0.05445544554455446,0,66
1.0,iam.v1.IamTokenService/CreateForSubject,0,0.017744367029295525,0.0001297508783136378,0.06435643564356436,0,78
0.5,iam.v1.IamCookieService/CreateForSubject,0,0.0024650613209469016,0.00015681825052278224,0.07778185225929998,0.00007219471947192844,93.19753086419755
0.0025,iam.v1.IamTokenService/Revoke,0,0.003249399013975478,0.00017133769828595768,0.08498349834983501,0,103
0.025,iam.v1.IamTokenService/Exchange,0,0.0023326406714745587,0.00017423337315810452,0.08641975308641985,0,104.74074074074076
0.01,iam.v1.IamTokenService/Exchange,0,0.0036262885547814054,0.00017569147894478803,0.08714297355661486,0,105.61728395061726
0.01,iam.v1.awscompatibility.PresignUrlService/Create,0,0.0021391027991687966,0.00017612274967042707,0.08735688383653183,0,105.87654320987653
5.0,iam.v1.IamTokenService/Create,0,0.005317198386505327,0.00017994935195412876,0.08835513180947722,0.0006703795379537954,107.08641975308637
0.025,iam.v1.awscompatibility.PresignUrlService/Create,0,0.002872509473169527,0.00018550802212837763,0.09201197897567531,0,111.5185185185185
0.5,iam.v1.IamCredentialService/Revoke,0,0.003687405777614802,0.0001962897902693495,0.09735973597359734,0,118
0.5,iam.v1.awscompatibility.TemporaryAccessKeyService/Create,0,0.002118730391557672,0.00020450714945786816,0.1014355461311026,0.0008649913904433987,122.26086956521738
0.75,iam.v1.IamCookieService/Revoke,0,0.018884075907590763,0.00020793409986159898,0.10313531353135309,0,125
0.01,iam.v1.IamCookieService/Revoke,0,0.0023527584239905787,0.00022290535505163414,0.11056105610561054,0,132.8395061728395
0.0075,iam.v1.IamCookieService/Revoke,0,0.002210406225807743,0.00027449354851853154,0.13614880006519164,0,164.30864197530855
0.0075,iam.v1.awscompatibility.PresignUrlService/Create,0,0.0031475369759198335,0.00027769727390899193,0.13773784785886,0,166.74074074074076
